ID	FORM_ID	DOCULECT	DOCULECT_ID	CONCEPT	CONCEPT_ID	VALUE	FORM	BORROWING
107995	176-1-322-1	Spanish	176	calm (of sea)	1-322	calma	calma	
107996	176-1-323-1	Spanish	176	rough (of sea)	1-323	agitado (mar); borrascoso	agitado	
107997	176-1-323-2	Spanish	176	rough (of sea)	1-323	agitado (mar); borrascoso	borrascoso	
107998	176-1-324-1	Spanish	176	foam	1-324	espuma	espuma	
107999	176-1-329-1	Spanish	176	ocean	1-329	océano	océano	
108000	176-1-330-1	Spanish	176	lake	1-330	lago	lago	
108001	176-1-340-1	Spanish	176	gulf, bay	1-340	golfo; bahía	golfo	
108002	176-1-340-2	Spanish	176	gulf, bay	1-340	golfo; bahía	bahía	
108003	176-1-341-1	Spanish	176	lagoon	1-341	laguna	laguna	
108004	176-1-342-1	Spanish	176	reef	1-342	arrecife	arrecife	
108005	176-1-343-1	Spanish	176	headland, point	1-343	promontorio; punta	promontorio	
108006	176-1-343-2	Spanish	176	headland, point	1-343	promontorio; punta	punta	
108007	176-1-350-1	Spanish	176	wave	1-350	ola	ola	
108008	176-1-352-1	Spanish	176	tide	1-352	marea	marea	
108009	176-1-353-1	Spanish	176	lowtide	1-353	bajamar	bajamar	
108010	176-1-354-1	Spanish	176	hightide	1-354	pleamar	pleamar	
108011	176-1-360-1	Spanish	176	river, stream, brook	1-360	río; corriente; arroyo	río	
108012	176-1-360-2	Spanish	176	river, stream, brook	1-360	río; corriente; arroyo	corriente	
108013	176-1-360-3	Spanish	176	river, stream, brook	1-360	río; corriente; arroyo	arroyo	
108014	176-1-362-1	Spanish	176	whirlpool	1-362	remolino	remolino	
108015	176-1-370-1	Spanish	176	spring, well	1-370	manantial; pozo	manantial	
108016	176-1-370-2	Spanish	176	spring, well	1-370	manantial; pozo	pozo	
108017	176-1-380-1	Spanish	176	swamp	1-380	pantano	pantano	
108018	176-1-390-1	Spanish	176	waterfall	1-390	cascada; salto	cascada	
108019	176-1-390-2	Spanish	176	waterfall	1-390	cascada; salto	salto	
108020	176-1-410-1	Spanish	176	woods, forest	1-410	bosque; selva	bosque	
108021	176-1-410-2	Spanish	176	woods, forest	1-410	bosque; selva	selva	
108022	176-1-420-1	Spanish	176	tree (cf 08.600)	1-420	árbol	árbol	
108023	176-1-430-1	Spanish	176	wood	1-430	madera	madera	
108024	176-1-440-1	Spanish	176	stone, rock	1-440	piedra; roca	piedra	
108025	176-1-440-2	Spanish	176	stone, rock	1-440	piedra; roca	roca	
108026	176-1-450-1	Spanish	176	earthquake	1-450	terremoto; temblor	terremoto	
108027	176-1-450-2	Spanish	176	earthquake	1-450	terremoto; temblor	temblor	
108028	176-1-510-1	Spanish	176	sky	1-510	cielo	cielo	
108029	176-1-520-1	Spanish	176	sun	1-520	sol	sol	
108030	176-1-530-1	Spanish	176	moon	1-530	luna	luna	
108031	176-1-540-1	Spanish	176	star	1-540	estrella	estrella	
108032	176-1-550-1	Spanish	176	lightning	1-550	relámpago	relámpago	
108033	176-1-560-1	Spanish	176	thunder	1-560	trueno	trueno	
108034	176-1-570-1	Spanish	176	lightning (as striking)	1-570	rayo	rayo	
108035	176-1-580-1	Spanish	176	storm	1-580	tempestad; tormenta	tempestad	
108036	176-1-580-2	Spanish	176	storm	1-580	tempestad; tormenta	tormenta	
108037	176-1-590-1	Spanish	176	rainbow	1-590	arco iris	arco iris	
108038	176-1-610-1	Spanish	176	light (noun)	1-610	luz	luz	
108039	176-1-620-1	Spanish	176	darkness	1-620	oscuridad; tinieblas	oscuridad	
108040	176-1-620-2	Spanish	176	darkness	1-620	oscuridad; tinieblas	tinieblas	
108041	176-1-630-1	Spanish	176	shade, shadow	1-630	sombra	sombra	
108042	176-1-640-1	Spanish	176	dew	1-640	rocío	rocío	
108043	176-1-710-1	Spanish	176	air	1-710	aire	aire	
108044	176-1-720-1	Spanish	176	wind	1-720	viento	viento	
108045	176-1-730-1	Spanish	176	cloud	1-730	nube	nube	
108046	176-1-740-1	Spanish	176	fog	1-740	neblina; niebla	neblina	
108047	176-1-740-2	Spanish	176	fog	1-740	neblina; niebla	niebla	
108048	176-1-750-1	Spanish	176	rain (noun)	1-750	lluvia	lluvia	
108049	176-1-760-1	Spanish	176	snow (noun)	1-760	nieve	nieve	
108050	176-1-770-1	Spanish	176	ice	1-770	hielo	hielo	
108051	176-1-780-1	Spanish	176	weather	1-780	tiempo	tiempo	
108052	176-1-810-1	Spanish	176	fire	1-810	fuego	fuego	
108053	176-1-820-1	Spanish	176	flame (noun)	1-820	llama	llama	
108054	176-1-830-1	Spanish	176	smoke (noun)	1-830	humo	humo	
108055	176-1-840-1	Spanish	176	ashes	1-840	cenizas	cenizas	
108056	176-1-841-1	Spanish	176	embers	1-841	brasas	brasas	
108057	176-1-851-1	Spanish	176	burn (vb trans)	1-851	quemar, quemarse	quemar	
108058	176-1-851-2	Spanish	176	burn (vb trans)	1-851	quemar, quemarse	quemarse	
108059	176-1-852-1	Spanish	176	burn (vb intrans)	1-852	arder	arder	
108060	176-1-860-1	Spanish	176	light, kindle, ignite	1-860	encender	encender	
108061	176-1-861-1	Spanish	176	extinguish	1-861	apagar; extinguir	apagar	
108062	176-1-861-2	Spanish	176	extinguish	1-861	apagar; extinguir	extinguir	
108063	176-1-870-1	Spanish	176	match (noun)	1-870	fósforo; cerilla	fósforo	
108064	176-1-870-2	Spanish	176	match (noun)	1-870	fósforo; cerilla	cerilla	
108065	176-1-880-1	Spanish	176	firewood	1-880	leɲa	leɲa	
108066	176-1-890-1	Spanish	176	charcoal	1-890	carbón	carbón	
108067	176-2-100-1	Spanish	176	person, human being	2-100	persona	persona	
108068	176-2-210-1	Spanish	176	man (vs. woman)	2-210	hombre	hombre	
108069	176-2-220-1	Spanish	176	woman	2-220	mujer	mujer	
108070	176-2-230-1	Spanish	176	male	2-230	varón; macho	varón	
108071	176-2-230-2	Spanish	176	male	2-230	varón; macho	macho	
108072	176-2-240-1	Spanish	176	female	2-240	hembra	hembra	
108073	176-2-250-1	Spanish	176	boy	2-250	muchacho	muchacho	
108074	176-2-251-1	Spanish	176	young man (adolescent)	2-251	el joven	el joven	
108075	176-2-260-1	Spanish	176	girl	2-260	muchacha	muchacha	
108076	176-2-261-1	Spanish	176	young woman (adolescent)	2-261	la joven	la joven	
108077	176-2-270-1	Spanish	176	child	2-270	niɲo	niɲo	
108078	176-2-280-1	Spanish	176	infant, baby	2-280	niɲo; bebé; nene	niɲo	
108079	176-2-280-2	Spanish	176	infant, baby	2-280	niɲo; bebé; nene	bebé	
108080	176-2-280-3	Spanish	176	infant, baby	2-280	niɲo; bebé; nene	nene	
108081	176-2-310-1	Spanish	176	husband	2-310	marido; esposo	marido	
108082	176-2-310-2	Spanish	176	husband	2-310	marido; esposo	esposo	
108083	176-2-320-1	Spanish	176	wife	2-320	esposa	esposa	
108084	176-2-330-1	Spanish	176	marry	2-330	casarse	casarse	
108085	176-2-340-1	Spanish	176	marriage, wedding	2-340	casamiento; boda	casamiento	
108086	176-2-340-2	Spanish	176	marriage, wedding	2-340	casamiento; boda	boda	
108087	176-2-341-1	Spanish	176	divorce	2-341	divorcio	divorcio	
108088	176-2-350-1	Spanish	176	father	2-350	padre	padre	
108089	176-2-360-1	Spanish	176	mother	2-360	madre	madre	
108090	176-2-370-1	Spanish	176	parents	2-370	padres	padres	
108091	176-2-380-1	Spanish	176	married man	2-380	hombre casado	hombre casado	
108092	176-2-390-1	Spanish	176	married woman	2-390	mujer casada	mujer casada	
108093	176-2-410-1	Spanish	176	son	2-410	hijo	hijo	
108094	176-2-420-1	Spanish	176	daughter	2-420	hija	hija	
108095	176-2-430-1	Spanish	176	offspring (son or daughter)	2-430	hijo, hija	hijo	
108096	176-2-430-2	Spanish	176	offspring (son or daughter)	2-430	hijo, hija	hija	
108097	176-2-440-1	Spanish	176	brother	2-440	hermano	hermano	
108098	176-2-444-1	Spanish	176	older brother	2-444	hermano mayor	hermano mayor	
108099	176-2-445-1	Spanish	176	younger brother	2-445	hermano menor	hermano menor	
108100	176-2-450-1	Spanish	176	sister	2-450	hermana	hermana	
108101	176-2-454-1	Spanish	176	older sister	2-454	hermana mayor	hermana mayor	
108102	176-2-455-1	Spanish	176	younger sister	2-455	hermana menor	hermana menor	
108103	176-2-456-1	Spanish	176	sibling	2-456	hermano/ hermana	hermano	
108104	176-2-456-2	Spanish	176	sibling	2-456	hermano/ hermana	hermana	
108105	176-2-458-1	Spanish	176	twins	2-458	gemelos; mellizo	gemelos	
108106	176-2-458-2	Spanish	176	twins	2-458	gemelos; mellizo	mellizo	
108107	176-2-460-1	Spanish	176	grandfather	2-460	abuelo	abuelo	
108108	176-2-461-1	Spanish	176	old man	2-461	anciano; hombre viejo	anciano	
108109	176-2-461-2	Spanish	176	old man	2-461	anciano; hombre viejo	hombre viejo	
108110	176-2-470-1	Spanish	176	grandmother	2-470	abuela	abuela	
108111	176-2-471-1	Spanish	176	old woman	2-471	anciana; mujer vieja	anciana	
108112	176-2-471-2	Spanish	176	old woman	2-471	anciana; mujer vieja	mujer vieja	
108113	176-2-480-1	Spanish	176	grandson	2-480	nieto	nieto	
108114	176-2-490-1	Spanish	176	granddaughter	2-490	nieta	nieta	
108115	176-2-510-1	Spanish	176	uncle	2-510	tío	tío	
108116	176-2-511-1	Spanish	176	mother's brother	2-511	hermano de la madre	hermano de la madre	
108117	176-2-512-1	Spanish	176	father's brother	2-512	hermano del padre	hermano del padre	
108118	176-2-520-1	Spanish	176	aunt	2-520	tía	tía	
108119	176-2-521-1	Spanish	176	mother's sister	2-521	hermana de la madre	hermana de la madre	
108120	176-2-522-1	Spanish	176	father's sister	2-522	hermana del padre	hermana del padre	
108121	176-2-530-1	Spanish	176	nephew	2-530	sobrino	sobrino	
108122	176-2-540-1	Spanish	176	niece	2-540	sobrina	sobrina	
108123	176-2-550-1	Spanish	176	cousin	2-550	primo/ prima	primo	
108124	176-2-550-2	Spanish	176	cousin	2-550	primo/ prima	prima	
108125	176-2-560-1	Spanish	176	ancestors	2-560	antepasados	antepasados	
108126	176-2-570-1	Spanish	176	descendants	2-570	descendientes	descendientes	
108127	176-2-610-1	Spanish	176	father-in-law (of a man)	2-610	suegro	suegro	
108128	176-2-611-1	Spanish	176	father-in-law (of a woman)	2-611	suegro	suegro	
108129	176-2-620-1	Spanish	176	mother-in-law (of a man)	2-620	suegra	suegra	
108130	176-2-621-1	Spanish	176	mother-in-law (of a woman)	2-621	suegra	suegra	
108131	176-2-630-1	Spanish	176	son-in-law (of a man)	2-630	yerno	yerno	
108132	176-2-631-1	Spanish	176	son-in-law (of a woman)	2-631	yerno	yerno	
108133	176-2-640-1	Spanish	176	daughter-in-law (of a man)	2-640	nuera	nuera	
108134	176-2-641-1	Spanish	176	daughter-in-law (of a woman)	2-641	nuera	nuera	
108135	176-2-710-1	Spanish	176	stepfather	2-710	padrastro	padrastro	
108136	176-2-720-1	Spanish	176	stepmother	2-720	madrastra	madrastra	
108137	176-2-730-1	Spanish	176	stepson	2-730	hijastro; entenado	hijastro	
108138	176-2-730-2	Spanish	176	stepson	2-730	hijastro; entenado	entenado	
108139	176-2-740-1	Spanish	176	stepdaughter	2-740	hijastra; entenada	hijastra	
108140	176-2-740-2	Spanish	176	stepdaughter	2-740	hijastra; entenada	entenada	
108141	176-2-750-1	Spanish	176	orphan	2-750	huérfano/ huérfana	huérfano	
108142	176-2-750-2	Spanish	176	orphan	2-750	huérfano/ huérfana	huérfana	
108143	176-2-760-1	Spanish	176	widow	2-760	viuda	viuda	
108144	176-2-770-1	Spanish	176	widower	2-770	viudo	viudo	
108145	176-2-810-1	Spanish	176	relatives, kinsmen	2-810	parientes, parentela	parientes	
108146	176-2-810-2	Spanish	176	relatives, kinsmen	2-810	parientes, parentela	parentela	
108147	176-2-820-1	Spanish	176	family	2-820	familia	familia	
108148	176-2-910-1	Spanish	176	I	2-910	yo	yo	
108149	176-2-920-1	Spanish	176	you (singular)	2-920	tú, usted	tú	
108150	176-2-920-2	Spanish	176	you (singular)	2-920	tú, usted	usted	
108151	176-2-930-1	Spanish	176	he/she/it	2-930	él/ ella/ ello	él	
108152	176-2-930-2	Spanish	176	he/she/it	2-930	él/ ella/ ello	ella	
108153	176-2-930-3	Spanish	176	he/she/it	2-930	él/ ella/ ello	ello	
108154	176-2-940-1	Spanish	176	we	2-940	nosotros/ nosotras	nosotros	
108155	176-2-940-2	Spanish	176	we	2-940	nosotros/ nosotras	nosotras	
108156	176-2-941-1	Spanish	176	we (inclusive)	2-941	nosotros/ nosotras	nosotros	
108157	176-2-941-2	Spanish	176	we (inclusive)	2-941	nosotros/ nosotras	nosotras	
108158	176-2-942-1	Spanish	176	we (exclusive)	2-942	nosotros/ nosotras	nosotros	
108159	176-2-942-2	Spanish	176	we (exclusive)	2-942	nosotros/ nosotras	nosotras	
108160	176-2-950-1	Spanish	176	you (plural)	2-950	ustedes	ustedes	
108161	176-2-960-1	Spanish	176	they	2-960	ellos, ellas	ellos	
108162	176-2-960-2	Spanish	176	they	2-960	ellos, ellas	ellas	
108163	176-3-110-1	Spanish	176	animal	3-110	animal	animal	
108164	176-3-120-1	Spanish	176	male (adj)	3-120	masculino; macho	masculino	
108165	176-3-120-2	Spanish	176	male (adj)	3-120	masculino; macho	macho	
108166	176-3-130-1	Spanish	176	female (adj)	3-130	femenino; hembra	femenino	
108167	176-3-130-2	Spanish	176	female (adj)	3-130	femenino; hembra	hembra	
108168	176-3-150-1	Spanish	176	livestock	3-150	ganado	ganado	
108169	176-3-160-1	Spanish	176	pasture	3-160	pradera; potrero	pradera	
108170	176-3-160-2	Spanish	176	pasture	3-160	pradera; potrero	potrero	
108171	176-3-180-1	Spanish	176	herdsman	3-180	pastor; vaquero	pastor	
108172	176-3-180-2	Spanish	176	herdsman	3-180	pastor; vaquero	vaquero	
108173	176-3-190-1	Spanish	176	stable, stall	3-190	establo	establo	
108174	176-3-200-1	Spanish	176	cattle (bovine)	3-200	ganado	ganado	
108175	176-3-210-1	Spanish	176	bull	3-210	toro	toro	
108176	176-3-220-1	Spanish	176	ox	3-220	buey	buey	
108177	176-3-230-1	Spanish	176	cow	3-230	vaca	vaca	
108178	176-3-240-1	Spanish	176	calf	3-240	becerro; ternero	becerro	
108179	176-3-240-2	Spanish	176	calf	3-240	becerro; ternero	ternero	
108180	176-3-250-1	Spanish	176	sheep	3-250	oveja	oveja	
108181	176-3-260-1	Spanish	176	ram	3-260	carnero; morueco	carnero	
108182	176-3-260-2	Spanish	176	ram	3-260	carnero; morueco	morueco	
108183	176-3-280-1	Spanish	176	ewe	3-280	oveja	oveja	
108184	176-3-290-1	Spanish	176	lamb	3-290	borrego; cordero	borrego	
108185	176-3-290-2	Spanish	176	lamb	3-290	borrego; cordero	cordero	
108186	176-3-320-1	Spanish	176	boar	3-320	jabalí	jabalí	
108187	176-3-340-1	Spanish	176	sow (2)	3-340	puerca; cochina; cerda	puerca	
108188	176-3-340-2	Spanish	176	sow (2)	3-340	puerca; cochina; cerda	cochina	
108189	176-3-340-3	Spanish	176	sow (2)	3-340	puerca; cochina; cerda	cerda	
108190	176-3-350-1	Spanish	176	pig	3-350	cerdo; puerco; chancho	cerdo	
108191	176-3-350-2	Spanish	176	pig	3-350	cerdo; puerco; chancho	puerco	
108192	176-3-350-3	Spanish	176	pig	3-350	cerdo; puerco; chancho	chancho	
108193	176-3-360-1	Spanish	176	goat	3-360	cabra	cabra	
108194	176-3-370-1	Spanish	176	he-goat	3-370	chivo; macho cabrío	chivo	
108195	176-3-370-2	Spanish	176	he-goat	3-370	chivo; macho cabrío	macho cabrío	
108196	176-3-380-1	Spanish	176	kid	3-380	cabrito	cabrito	
108197	176-3-410-1	Spanish	176	horse (equine)	3-410	caballo	caballo	
108198	176-3-420-1	Spanish	176	stallion	3-420	caballo padre; semental	caballo padre	
108199	176-3-420-2	Spanish	176	stallion	3-420	caballo padre; semental	semental	
108200	176-3-440-1	Spanish	176	mare	3-440	yegua	yegua	
108201	176-3-450-1	Spanish	176	foal, colt	3-450	potro, potrillo	potro	
108202	176-3-450-2	Spanish	176	foal, colt	3-450	potro, potrillo	potrillo	
108203	176-3-460-1	Spanish	176	ass, donkey	3-460	asno; burro	asno	
108204	176-3-460-2	Spanish	176	ass, donkey	3-460	asno; burro	burro	
108205	176-3-470-1	Spanish	176	mule	3-470	mulo/ mula	mulo	
108206	176-3-470-2	Spanish	176	mule	3-470	mulo/ mula	mula	
108207	176-3-500-1	Spanish	176	fowl	3-500	ave	ave	
108208	176-3-520-1	Spanish	176	cock, rooster	3-520	gallo	gallo	
108209	176-3-540-1	Spanish	176	hen	3-540	gallina	gallina	
108210	176-3-550-1	Spanish	176	chicken	3-550	pollo	pollo	
108211	176-3-560-1	Spanish	176	goose	3-560	ganso	ganso	
108212	176-3-570-1	Spanish	176	duck	3-570	pato; ánade	pato	
108213	176-3-570-2	Spanish	176	duck	3-570	pato; ánade	ánade	
108214	176-3-580-1	Spanish	176	nest	3-580	nido	nido	
108215	176-3-581-1	Spanish	176	bird	3-581	pájaro; ave	pájaro	
108216	176-3-581-2	Spanish	176	bird	3-581	pájaro; ave	ave	
108217	176-3-582-1	Spanish	176	seagull	3-582	gaviota	gaviota	
108218	176-3-583-1	Spanish	176	heron	3-583	garza	garza	
108219	176-3-584-1	Spanish	176	eagle	3-584	águila	águila	
108220	176-3-585-1	Spanish	176	hawk	3-585	gavilán; halcón	gavilán	
108221	176-3-585-2	Spanish	176	hawk	3-585	gavilán; halcón	halcón	
108222	176-3-586-1	Spanish	176	vulture	3-586	buitre	buitre	
108223	176-3-591-1	Spanish	176	bat	3-591	murciélago	murciélago	
108224	176-3-592-1	Spanish	176	parrot	3-592	loro; papagayo	loro	
108225	176-3-592-2	Spanish	176	parrot	3-592	loro; papagayo	papagayo	
108226	176-3-593-1	Spanish	176	crow	3-593	cuervo	cuervo	
108227	176-3-594-1	Spanish	176	dove	3-594	paloma	paloma	
108228	176-3-596-1	Spanish	176	owl	3-596	lechuza; buho	lechuza	
108229	176-3-596-2	Spanish	176	owl	3-596	lechuza; buho	buho	
108230	176-3-610-1	Spanish	176	dog	3-610	perro	perro	
108231	176-3-614-1	Spanish	176	rabbit	3-614	conejo	conejo	
108232	176-3-620-1	Spanish	176	cat	3-620	gato	gato	
108233	176-3-622-1	Spanish	176	opossum	3-622	zarigüeya	zarigüeya	
108234	176-3-630-1	Spanish	176	mouse, rat	3-630	ratón, rata	ratón	
108235	176-3-630-2	Spanish	176	mouse, rat	3-630	ratón, rata	rata	
108236	176-3-650-1	Spanish	176	fish	3-650	pez, pescado	pez	
108237	176-3-650-2	Spanish	176	fish	3-650	pez, pescado	pescado	
108238	176-3-652-1	Spanish	176	fin (dorsal)	3-652	aleta	aleta	
108239	176-3-653-1	Spanish	176	fishscale	3-653	escama	escama	
108240	176-3-654-1	Spanish	176	gill	3-654	agalla	agalla	
108241	176-3-655-1	Spanish	176	shell	3-655	valva	valva	
108242	176-3-661-1	Spanish	176	shark	3-661	tiburón	tiburón	
108243	176-3-662-1	Spanish	176	porpoise, dolphin	3-662	delfín	delfín	
108244	176-3-663-1	Spanish	176	whale	3-663	ballena	ballena	
108245	176-3-664-1	Spanish	176	stingray	3-664	raya; pastinaca	raya	
108246	176-3-664-2	Spanish	176	stingray	3-664	raya; pastinaca	pastinaca	
108247	176-3-665-1	Spanish	176	freshwater eel	3-665	anguila de agua dulce	anguila de agua dulce	
108248	176-3-710-1	Spanish	176	wolf	3-710	lobo	lobo	
108249	176-3-720-1	Spanish	176	lion	3-720	león	león	
108250	176-3-730-1	Spanish	176	bear	3-730	oso	oso	
108251	176-3-740-1	Spanish	176	fox	3-740	zorro	zorro	
108252	176-3-750-1	Spanish	176	deer	3-750	venado; ciervo/a	venado	
108253	176-3-750-2	Spanish	176	deer	3-750	venado; ciervo/a	ciervo	
108254	176-3-750-3	Spanish	176	deer	3-750	venado; ciervo/a	a	
108255	176-3-760-1	Spanish	176	monkey	3-760	mono	mono	
108256	176-3-770-1	Spanish	176	elephant	3-770	elefante	elefante	
108257	176-3-780-1	Spanish	176	camel	3-780	camello	camello	
108258	176-3-810-1	Spanish	176	insect	3-810	insecto	insecto	
108259	176-3-811-1	Spanish	176	louse	3-811	piojo	piojo	
108260	176-3-812-1	Spanish	176	nit (louse egg)	3-812	liendre	liendre	
108261	176-3-813-1	Spanish	176	flea	3-813	pulga	pulga	
108262	176-3-814-1	Spanish	176	centipede	3-814	ciempiés	ciempiés	
108263	176-3-815-1	Spanish	176	scorpion	3-815	alacrán; escorpión	alacrán	
108264	176-3-815-2	Spanish	176	scorpion	3-815	alacrán; escorpión	escorpión	
108265	176-3-816-1	Spanish	176	cockroach	3-816	cucaracha	cucaracha	
108266	176-3-817-1	Spanish	176	ant	3-817	hormiga	hormiga	
108267	176-3-818-1	Spanish	176	spider	3-818	araɲa	araɲa	
108268	176-3-819-1	Spanish	176	spider web	3-819	telaraɲa	telaraɲa	
108269	176-3-820-1	Spanish	176	bee	3-820	abeja	abeja	
108270	176-3-821-1	Spanish	176	beeswax	3-821	cera de abeja	cera de abeja	
108271	176-3-822-1	Spanish	176	beehive	3-822	colmena	colmena	
108272	176-3-823-1	Spanish	176	wasp	3-823	avispa	avispa	
108273	176-3-830-1	Spanish	176	fly	3-830	mosca	mosca	
108274	176-3-831-1	Spanish	176	sandfly (midge), gnat	3-831	jején	jején	
108275	176-3-832-1	Spanish	176	mosquito	3-832	mosquito	mosquito	
108276	176-3-840-1	Spanish	176	worm	3-840	lombriz; gusano	lombriz	
108277	176-3-840-2	Spanish	176	worm	3-840	lombriz; gusano	gusano	
108278	176-3-850-1	Spanish	176	snake	3-850	culebra; serpiente	culebra	
108279	176-3-850-2	Spanish	176	snake	3-850	culebra; serpiente	serpiente	
108280	176-3-910-1	Spanish	176	firefly	3-910	luciérnaga	luciérnaga	
108281	176-3-920-1	Spanish	176	butterfly	3-920	mariposa	mariposa	
108282	176-3-930-1	Spanish	176	grasshopper	3-930	saltamontes	saltamontes	
108283	176-3-940-1	Spanish	176	snail	3-940	caracol	caracol	
108284	176-3-950-1	Spanish	176	frog	3-950	rana	rana	
108285	176-3-960-1	Spanish	176	lizard	3-960	lagartija	lagartija	
108286	176-3-970-1	Spanish	176	crocodile, alligator	3-970	cocodrilo; caimán	cocodrilo	
108287	176-3-970-2	Spanish	176	crocodile, alligator	3-970	cocodrilo; caimán	caimán	
108288	176-3-980-1	Spanish	176	turtle	3-980	tortuga	tortuga	
108289	176-4-110-1	Spanish	176	body	4-110	cuerpo	cuerpo	
108290	176-4-120-1	Spanish	176	skin, hide	4-120	piel; cutis; pellejo	piel	
108291	176-4-120-2	Spanish	176	skin, hide	4-120	piel; cutis; pellejo	cutis	
108292	176-4-120-3	Spanish	176	skin, hide	4-120	piel; cutis; pellejo	pellejo	
108293	176-4-130-1	Spanish	176	flesh	4-130	carne	carne	
108294	176-4-140-1	Spanish	176	hair (head)	4-140	cabello; pelo	cabello	
108295	176-4-140-2	Spanish	176	hair (head)	4-140	cabello; pelo	pelo	
108296	176-4-142-1	Spanish	176	beard	4-142	barba	barba	
108297	176-4-144-1	Spanish	176	body hair	4-144	vello	vello	
108298	176-4-145-1	Spanish	176	pubic hair	4-145	pelo púbico	pelo púbico	
108299	176-4-146-1	Spanish	176	dandruff	4-146	caspa	caspa	
108300	176-4-150-1	Spanish	176	blood	4-150	sangre	sangre	
108301	176-4-151-1	Spanish	176	vein, artery	4-151	vena; arteria	vena	
108302	176-4-151-2	Spanish	176	vein, artery	4-151	vena; arteria	arteria	
108303	176-4-160-1	Spanish	176	bone	4-160	hueso	hueso	
108304	176-4-162-1	Spanish	176	rib	4-162	costilla	costilla	
108305	176-4-170-1	Spanish	176	horn	4-170	cuerno	cuerno	
108306	176-4-180-1	Spanish	176	tail	4-180	cola	cola	
108307	176-4-190-1	Spanish	176	back	4-190	espalda	espalda	
108308	176-4-191-1	Spanish	176	spine	4-191	espinazo; espina dorsal	espinazo	
108309	176-4-191-2	Spanish	176	spine	4-191	espinazo; espina dorsal	espina dorsal	
108310	176-4-200-1	Spanish	176	head	4-200	cabeza	cabeza	
108311	176-4-201-1	Spanish	176	side of head, temple	4-201	sien	sien	
108312	176-4-202-1	Spanish	176	skull	4-202	cráneo; calavera	cráneo	
108313	176-4-202-2	Spanish	176	skull	4-202	cráneo; calavera	calavera	
108314	176-4-203-1	Spanish	176	brain	4-203	cerebro; sesos	cerebro	
108315	176-4-203-2	Spanish	176	brain	4-203	cerebro; sesos	sesos	
108316	176-4-204-1	Spanish	176	face	4-204	cara	cara	
108317	176-4-205-1	Spanish	176	forehead	4-205	frente	frente	
108318	176-4-207-1	Spanish	176	jaw	4-207	mandíbula	mandíbula	
108319	176-4-208-1	Spanish	176	cheek	4-208	mejilla	mejilla	
108320	176-4-209-1	Spanish	176	chin	4-209	mentón; barbilla	mentón	
108321	176-4-209-2	Spanish	176	chin	4-209	mentón; barbilla	barbilla	
108322	176-4-210-1	Spanish	176	eye	4-210	ojo	ojo	
108323	176-4-212-1	Spanish	176	eyebrow	4-212	ceja	ceja	
108324	176-4-213-1	Spanish	176	eyelid	4-213	párpado	párpado	
108325	176-4-214-1	Spanish	176	eyelash	4-214	pestaɲa	pestaɲa	
108326	176-4-215-1	Spanish	176	blink	4-215	parpadear; pestaɲear	parpadear	
108327	176-4-215-2	Spanish	176	blink	4-215	parpadear; pestaɲear	pestaɲear	
108328	176-4-220-1	Spanish	176	ear	4-220	oreja	oreja	
108329	176-4-221-1	Spanish	176	earlobe	4-221	lóbulo	lóbulo	
108330	176-4-222-1	Spanish	176	earwax	4-222	cerumen	cerumen	
